ID	Length	pLDDT	Domain architecture	Taxonomy	Dominating topology	Dom. top. frequency
A0A7C9PWT0	853	79,07	PF08487;PF13768;	Oscillatoria sp. SIO1A7	6_3	0,79
A0A669BEZ1	828	78,92	PF08487;PF13768;	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	6_3	0,79
A0A6N2JTG6	843	78,73	PF08487;PF13768;	Pseudanabaena sp. UWO311	6_3	0,79
A0A523QZF9	761	78,69	PF08487;PF13768;	Candidatus Cloacimonetes bacterium	6_3	0,79
A0A511SWE8	856	78,55	PF08487;PF13768;	Myxococcus fulvus	6_3	0,79
A0A814UTK5	672	78,38	PF08487;PF13768;	Rotaria sordida	6_3	0,79
A0A2T0MUP5	842	77,95	PF08487;PF13768;	Nonomuraea fuscirosea	6_3	0,79
A0A524A8K5	722	77,79	PF08487;PF13768;	Anaerolineales bacterium	6_3	0,79
F2AYQ5	764	77,75	PF08487;PF13768;	Rhodopirellula baltica WH47	6_3	0,79
A0A1S3NTR2	783	77,37	PF08487;PF13768;	Salmo salar (Atlantic salmon)	6_3	0,79
A0A3A8KPF5	903	77,28	PF08487;PF13768;	Corallococcus sp. CA047B	6_3	0,79
A0A4Q5ZKS5	904	77,15	PF08487;PF13768;	Myxococcaceae bacterium	6_3	0,79
A0A819DNL9	816	76,6	PF08487;PF13768;	Adineta steineri	6_3	0,79
A0A1S3NU91	707	76,51	PF08487;PF13768;	Salmo salar (Atlantic salmon)	6_3	0,79
C7FPD9	836	76,5	PF08487;PF13768;	uncultured bacterium HF186_25m_18N5	6_3	0,79
H8MG34	900	76,42	PF08487;PF13768;	Corallococcus coralloides (strain ATCC 25202 / DSM 2259 / NBRC 100086 / M2) (Myxococcus coralloides)	6_3	0,79
A0A6P1TAY3	796	76,28	PF08487;PF13768;	Microbulbifer hydrolyticus	6_3	0,79
K6XY99	688	76,01	PF08487;PF13768;	Aliiglaciecola lipolytica E3	6_3	0,79
A0A6L8EIQ4	793	76	PF08487;PF13768;	Gammaproteobacteria bacterium	6_3	0,79
A0A7W1A1G0	833	75,66	PF08487;PF13768;	Deltaproteobacteria bacterium	6_3	0,79
A0A0F3GIE1	821	74,72	PF08487;PF13768;	Candidatus Magnetobacterium bavaricum	6_3	0,79
A0A7Y1VTM4	751	72,79	PF08487;PF13768;	Saprospiraceae bacterium	6_3	0,79
A0A846GJW8	972	71,75	PF08487;PF13768;	Moorena sp. SIO1G6	6_3	0,79
A0A7K2EHX5	697	71,69	PF08487;PF13768;	Rhodothermaceae bacterium	6_3	0,79
A0A819K735	761	71,54	PF08487;PF13768;	Adineta steineri	6_3	0,79
A0A6L9YST7	973	71,1	PF08487;PF13768;	Moorena sp. SIO4A3	6_3	0,79
A0A6P0ZQS5	974	70,62	PF08487;PF13768;	Moorena sp. SIO1F2	6_3	0,79
A0A3B4DD42	719	84,99	PF08487;PF13768;	Pygocentrus nattereri (Red-bellied piranha)	6_3	0,78
A0A1X1UTD6	746	84,6	PF08487;PF13768;	Mycobacterium gastri	6_3	0,78
A0A3Q1BKJ2	736	84,54	PF08487;PF13768;	Amphiprion ocellaris (Clown anemonefish)	6_3	0,78
A0A235J9D0	772	84,53	PF08487;PF13768;	Nostoc sp. 'Peltigera membranacea cyanobiont' 232	6_3	0,78
A0A0S7FJ19	776	84,26	PF08487;PF13768;	Poeciliopsis prolifica (blackstripe livebearer)	6_3	0,78
A0A2V8UTA4	808	84,18	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,78
A0A6P8UXS8	785	83,89	PF08487;PF13768;	Gymnodraco acuticeps (Antarctic dragonfish)	6_3	0,78
A0A6J2QT24	789	83,58	PF08487;PF13768;	Cottoperca gobio (Frogmouth) (Aphritis gobio)	6_3	0,78
A0A6P8FXN7	789	83,31	PF08487;PF13768;	Clupea harengus (Atlantic herring)	6_3	0,78
A0A6P8PF86	793	83,18	PF08487;PF13768;	Geotrypetes seraphini (Gaboon caecilian) (Caecilia seraphini)	6_3	0,78
A0A352AB22	789	83,09	PF08487;PF13768;	Cyanobacteria bacterium UBA9273	6_3	0,78
A0A352AB22	789	83,09	PF08487;PF13768;	Cyanobacteria bacterium UBA9273	6_3	0,78
A0A2M7CVZ8	740	83,02	PF08487;PF13768;	Xanthomonadales bacterium CG02_land_8_20_14_3_00_62_12	6_3	0,78
A0A3B3XYI0	761	82,98	PF08487;PF13768;	Poecilia mexicana	6_3	0,78
A0A673JME6	723	82,92	PF08487;PF13768;	Sinocyclocheilus rhinocerous	6_3	0,78
A0A1Q3HTY8	847	82,68	PF08487;PF13768;	Archangium sp. Cb G35	6_3	0,78
A0A1B4Y099	772	82,64	PF08487;PF13768;	Mycobacterium ulcerans subsp. shinshuense	6_3	0,78
A0A3D1ALR5	750	82,48	PF08487;PF13768;	Desulfobulbaceae bacterium	6_3	0,78
A0A4R1A059	717	82,37	PF08487;PF13768;	Tenacibaculum sp. M341	6_3	0,78
A0A3B5QVW7	791	82,26	PF08487;PF13768;	Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus)	6_3	0,78
A0A2Z5TT89	772	82,22	PF08487;PF13768;	Mycobacterium pseudoshottsii JCM 15466	6_3	0,78
A0A671W2J3	634	81,75	PF08487;PF13768;	Sparus aurata (Gilthead sea bream)	6_3	0,78
A0A651E092	818	81,64	PF08487;PF13768;	Leptolyngbya sp. DLM2.Bin15	6_3	0,78
A0A7W7WCJ8	765	81,63	PF08487;PF13768;	Streptosporangium album	6_3	0,78
A0A7X5BPJ3	837	81,35	PF08487;PF13768;	Corallococcus exiguus	6_3	0,78
A0A2P4ETV0	658	81,32	PF08487;PF13768;	Halopseudomonas oceani	6_3	0,78
I4C134	820	81,12	PF08487;PF13768;	Desulfomonile tiedjei (strain ATCC 49306 / DSM 6799 / DCB-1)	6_3	0,78
A0A1V6K198	804	80,45	PF08487;PF13768;	candidate division Hyd24-12 bacterium ADurb.Bin004	6_3	0,78
A0A496B449	970	80,44	PF08487;PF13768;	Candidatus Poribacteria bacterium	6_3	0,78
A0A668U2W5	805	80,33	PF08487;PF13768;	Oreochromis aureus (Israeli tilapia) (Chromis aureus)	6_3	0,78
A0A2V8RRQ1	862	80,19	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,78
A0A2V8PVJ6	847	80,09	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,78
A0A7V8E896	825	79,97	PF08487;PF13768;	Planctomycetes bacterium	6_3	0,78
A0A2H0J5W6	816	79,89	PF08487;PF13768;	Comamonadaceae bacterium CG12_big_fil_rev_8_21_14_0_65_59_15	6_3	0,78
A0A2T4VID3	848	79,86	PF08487;PF13768;	Vitiosangium sp. (strain GDMCC 1.1324)	6_3	0,78
A0A1V1X120	794	79,74	PF08487;PF13768;	Desulfobacterales bacterium PC51MH44	6_3	0,78
A0A1W9LAA7	761	79,71	PF08487;PF13768;	Beggiatoa sp. IS2	6_3	0,78
A0A5P9YR94	805	79,71	PF08487;PF13768;	Nonomuraea nitratireducens	6_3	0,78
A0A559NN27	715	79,62	PF08487;PF13768;	Maribacter sp. MAR_2009_72	6_3	0,78
A0A1F8P2Y4	787	79,52	PF08487;PF13768;	Chloroflexi bacterium RBG_16_48_8	6_3	0,78
A0A2Z5WVK7	837	79,28	PF08487;PF13768;	Pseudanabaena sp. ABRG5-3	6_3	0,78
A0A348VW12	771	79,24	PF08487;PF13768;	Nitrospiraceae bacterium	6_3	0,78
A0A428YU55	778	79,13	PF08487;PF13768;	Actinoplanes sp. ATCC 53533	6_3	0,78
A0A7C3WIY1	769	79,09	PF08487;PF13768;	Desulfobacca acetoxidans	6_3	0,78
G6YX45	747	79,09	PF08487;PF13768;	Marinobacter manganoxydans MnI7-9	6_3	0,78
A0A6P6MCK8	813	78,8	PF08487;PF13768;	Carassius auratus (Goldfish)	6_3	0,78
A0A1M4E6P3	814	78,52	PF08487;PF13768;	Nonomuraea gerenzanensis	6_3	0,78
A0A6P7JD99	825	78,47	PF08487;PF13768;	Parambassis ranga (Indian glassy fish)	6_3	0,78
A0A6P0T8X2	851	78,46	PF08487;PF13768;	Cyanothece sp. SIO2G6	6_3	0,78
A0A6P6ME51	811	78,42	PF08487;PF13768;	Carassius auratus (Goldfish)	6_3	0,78
A0A1W9KPB4	849	78,14	PF08487;PF13768;	Rhodoferax ferrireducens	6_3	0,78
A0A2D7HHI7	778	78,07	PF08487;PF13768;	Rhodopirellula sp	6_3	0,78
A0A5S3TBZ6	666	78,06	PF08487;PF13768;	Pseudoalteromonas sp. S4492	6_3	0,78
A0A433UFJ3	859	77,92	PF08487;PF13768;	Trichormus variabilis SAG 1403-4b	6_3	0,78
A0A7C4I687	776	77,69	PF08487;PF13768;	Betaproteobacteria bacterium	6_3	0,78
A0A1U7TAH4	810	77,47	PF08487;PF13768;	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	6_3	0,78
A0A1S3NTQ9	832	77,42	PF08487;PF13768;	Salmo salar (Atlantic salmon)	6_3	0,78
A0A831XTX5	802	77,3	PF08487;PF13768;	Armatimonadetes bacterium	6_3	0,78
A0A7Y5U875	819	75,98	PF08487;PF13768;	Polyangiaceae bacterium	6_3	0,78
A0A285PGL5	814	75,64	PF08487;PF13768;	Cohaesibacter gelatinilyticus	6_3	0,78
A0A5C4RX71	747	75,09	PF08487;PF13768;	Arenimonas terrae	6_3	0,78
A0A7C3EJW6	799	74,73	PF08487;PF13768;	Ignavibacteria bacterium	6_3	0,78
A0A815EGZ9	867	74,62	PF08487;PF13768;	Rotaria sordida	6_3	0,78
A0A815ZN63	896	74,09	PF08487;PF13768;	Rotaria magnacalcarata	6_3	0,78
A0A816D2L3	838	73,44	PF08487;PF13768;	Adineta steineri	6_3	0,78
A0A814XIC3	906	73,32	PF08487;PF13768;	Didymodactylos carnosus	6_3	0,78
A0A5C8J3J3	768	73,3	PF08487;PF13768;	Ottowia sp. GY511	6_3	0,78
A0A818WZ57	848	73,29	PF08487;PF13768;	Adineta steineri	6_3	0,78
A0A3B4UEK1	759	72,82	PF08487;PF13768;	Seriola dumerili (Greater amberjack) (Caranx dumerili)	6_3	0,78
A0A819V5Z1	853	72,6	PF08487;PF13768;	Rotaria sordida	6_3	0,78
A0A813VE54	903	72,44	PF08487;PF13768;	Adineta ricciae (Rotifer)	6_3	0,78
A0A1P8WL47	843	71,49	PF08487;PF13768;	Fuerstiella marisgermanici	6_3	0,78
A0A3D1R6C6	926	71,44	PF08487;PF13768;	Myxococcales bacterium	6_3	0,78
A0A259E3P7	768		PF08487;PF13768;	Thiotrichales bacterium 17-46-47	6_3	0,78
D4ZK86	765		PF08487;PF13768;	Shewanella violacea (strain JCM 10179 / CIP 106290 / LMG 19151 / DSS12)	6_3	0,78
A0A838PE04	865		PF08487;PF13768;	Pyrinomonadaceae bacterium	6_3	0,78
A0A4R5WIC5	769		PF08487;PF13768;	Mycobacterium paragordonae	6_3	0,78
A0A6B3MNG4	975		PF08487;PF13768;	Moorena sp. SIO4A1	6_3	0,78
G3NSF9	823		PF08487;PF13768;	Gasterosteus aculeatus (Three-spined stickleback)	6_3	0,78
A0A6J2UMQ5	751		PF08487;PF13768;	Chanos chanos (Milkfish) (Mugil chanos)	6_3	0,78
A0A2K5NI52	781		PF08487;PF13768;	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	6_3	0,78
A0A6P6PFB3	787		PF08487;PF13768;	Carassius auratus (Goldfish)	6_3	0,78
A0A081BNS9	790		PF08487;PF13768;	Candidatus Moduliflexus flocculans	6_3	0,78
A0A4R7VNQ8	873		PF08487;PF13768;	Actinophytocola oryzae	6_3	0,78
H1KUU7	676	85,44	PF08487;PF13768;	Methylorubrum extorquens DSM 13060	6_3	0,77
A0A4R4LPB5	647	85,35	PF08487;PF13768;	Actinomadura sp. 7K534	6_3	0,77
A0A367QVP8	768	85,08	PF08487;PF13768;	Nostoc sp. ATCC 43529	6_3	0,77
U7H0H6	712	84,39	PF08487;PF13768;	Marinobacter sp. EN3	6_3	0,77
A0A3A8JMA8	660	84,2	PF08487;PF13768;	Corallococcus sp. CA053C	6_3	0,77
A0A367Q476	772	83,47	PF08487;PF13768;	Nostoc minutum NIES-26	6_3	0,77
A0A669EDG5	724	83,32	PF08487;PF13768;	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	6_3	0,77
A0A3E0PIL8	888	83,15	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,77
A0A6L9ZK11	775	83,11	PF08487;PF13768;	Okeania sp. SIO3B5	6_3	0,77
A0A3A8N6Q0	662	82,95	PF08487;PF13768;	Corallococcus llansteffanensis	6_3	0,77
B4VWG4	801	82,74	PF08487;PF13768;	Coleofasciculus chthonoplastes PCC 7420	6_3	0,77
A0A2K6LXJ2	786	82,28	PF08487;PF13768;	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	6_3	0,77
A9FVL6	865	82,26	PF08487;PF13768;	Sorangium cellulosum (strain So ce56) (Polyangium cellulosum (strain So ce56))	6_3	0,77
A0A1V5WYW8	834	81,91	PF08487;PF13768;	Deltaproteobacteria bacterium ADurb.Bin207	6_3	0,77
A0A3B3V7H6	723	81,83	PF08487;PF13768;	Poecilia latipinna (sailfin molly)	6_3	0,77
A0A239H6Z2	803	81,67	PF08487;PF13768;	Actinomadura mexicana	6_3	0,77
A0A1Q3XCW8	748	81,56	PF08487;PF13768;	Thiobacillus sp. 65-1402	6_3	0,77
A0A1A3ND21	753	81,4	PF08487;PF13768;	Mycobacterium asiaticum	6_3	0,77
L7N2L0	838	81,26	PF08487;PF13768;	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	6_3	0,77
A0A496UH65	815	81,11	PF08487;PF13768;	Candidatus Fermentibacteria bacterium	6_3	0,77
A0A1J5IL11	756	80,84	PF08487;PF13768;	Syntrophobacteraceae bacterium CG2_30_61_12	6_3	0,77
A0A7Z9BIL5	838	80,71	PF08487;PF13768;	Planktothrix paucivesiculata PCC 9631	6_3	0,77
A0A163WZG4	751	80,56	PF08487;PF13768;	Candidatus Fermentibacter daniensis	6_3	0,77
A0A6G1PRX8	811	80,54	PF08487;PF13768;	Channa argus (northern snakehead)	6_3	0,77
A0A6P1KVC5	827	80,44	PF08487;PF13768;	Nostoc sp. ATCC 53789	6_3	0,77
A0A6G4U5S5	783	80,43	PF08487;PF13768;	Streptomyces coryli	6_3	0,77
A0A2Z6CH46	835	80,32	PF08487;PF13768;	Planktothrix agardhii NIES-204	6_3	0,77
A0A6J7ZSK6	835	80,25	PF08487;PF13768;	Planktothrix rubescens NIVA-CYA 18	6_3	0,77
A0A6P6MCE7	783	80,21	PF08487;PF13768;	Carassius auratus (Goldfish)	6_3	0,77
A0A6M0RF55	829	80,09	PF08487;PF13768;	Leptolyngbyaceae cyanobacterium CCMR0081	6_3	0,77
S9P6V7	850	79,9	PF08487;PF13768;	Cystobacter fuscus DSM 2262	6_3	0,77
A0A850B9B7	754	79,67	PF08487;PF13768;	Polyangiaceae bacterium	6_3	0,77
A0A258XEL9	772	79,63	PF08487;PF13768;	Polynucleobacter sp. 16-46-70	6_3	0,77
A0A7Y6WYT8	857	79,54	PF08487;PF13768;	Myxococcus sp. AM010	6_3	0,77
M5SUU1	764	79,38	PF08487;PF13768;	Rhodopirellula sp. SWK7	6_3	0,77
A0A7V3ABJ2	777	79,18	PF08487;PF13768;	Planctomycetes bacterium	6_3	0,77
A0A2W2EZ04	797	79,06	PF08487;PF13768;	Nonomuraea aridisoli	6_3	0,77
A0A2W2EZ04	797	79,06	PF08487;PF13768;	Nonomuraea aridisoli	6_3	0,77
A0A068NT08	760	78,98	PF08487;PF13768;	Fimbriimonas ginsengisoli Gsoil 348	6_3	0,77
A0A672HYK9	754	78,98	PF08487;PF13768;	Salarias fasciatus (Jewelled blenny) (Blennius fasciatus)	6_3	0,77
A0A7N4NVE4	849	78,97	PF08487;PF13768;	Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	6_3	0,77
A0A3L7HUM4	815	78,96	PF08487;PF13768;	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	6_3	0,77
A0A2S9YXH7	805	78,8	PF08487;PF13768;	Enhygromyxa salina	6_3	0,77
A0A674PEL1	812	78,8	PF08487;PF13768;	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	6_3	0,77
A0A7Y4JFD6	860	78,77	PF08487;PF13768;	Myxococcus xanthus	6_3	0,77
A0A521HWW9	828	78,75	PF08487;PF13768;	Betaproteobacteria bacterium	6_3	0,77
A0A6M0G380	829	78,69	PF08487;PF13768;	Symploca sp. SIO2E6	6_3	0,77
A0A673BK82	859	78,57	PF08487;PF13768;	Sphaeramia orbicularis (orbiculate cardinalfish)	6_3	0,77
A0A2T7T0I8	817	78,51	PF08487;PF13768;	Limnohabitans sp. Rim28	6_3	0,77
A0A7Y6XJT9	871	78,43	PF08487;PF13768;	Myxococcus sp. AM011	6_3	0,77
A0A250JMX5	849	78,16	PF08487;PF13768;	Corallococcus macrosporus DSM 14697	6_3	0,77
A0A4V1ZJR4	834	77,85	PF08487;PF13768;	bacterium	6_3	0,77
N6Y5D3	841	77,81	PF08487;PF13768;	Thauera aminoaromatica S2	6_3	0,77
A0A2P4UL58	893	77	PF08487;PF13768;	Actinomadura rubteroloni	6_3	0,77
A0A4P5VW89	772	76,99	PF08487;PF13768;	Deltaproteobacteria bacterium	6_3	0,77
A0A1F3EPT6	752	76,41	PF08487;PF13768;	Bacteroidetes bacterium GWB2_41_8	6_3	0,77
K9SFC0	902	76,29	PF08487;PF13768;	Pseudanabaena sp. PCC 7367	6_3	0,77
A0A7Y4J0R3	906	76,28	PF08487;PF13768;	Corallococcus coralloides (Myxococcus coralloides)	6_3	0,77
A0A2E8FJK0	799	76,26	PF08487;PF13768;	Planctomycetaceae bacterium	6_3	0,77
A0A3A8H7T3	904	76,11	PF08487;PF13768;	Corallococcus sp. CA054B	6_3	0,77
A0A815JM91	845	75,98	PF08487;PF13768;	Adineta ricciae (Rotifer)	6_3	0,77
A0A6M9PPT1	772	75,93	PF08487;PF13768;	Polynucleobacter asymbioticus	6_3	0,77
A0A814K870	830	75,89	PF08487;PF13768;	Didymodactylos carnosus	6_3	0,77
A0A287B588	822	75,83	PF08487;PF13768;	Sus scrofa (Pig)	6_3	0,77
A0A660ZTM3	873	75,69	PF08487;PF13768;	bacterium	6_3	0,77
A0A816AT46	847	74,91	PF08487;PF13768;	Rotaria sp. Silwood1	6_3	0,77
A0A7Y2YK41	709	74,58	PF08487;PF13768;	Xanthomonadales bacterium	6_3	0,77
A0A2T6DPU1	864	73,83	PF08487;PF13768;	Verrucomicrobia bacterium LW23	6_3	0,77
A0A3L7TEC1	763	73,77	PF08487;PF13768;	Planctomycetes bacterium	6_3	0,77
A0A1U7MZS7	937	73,21	PF08487;PF13768;	Moorena bouillonii PNG	6_3	0,77
A0A818SXG6	903	73,15	PF08487;PF13768;	Rotaria sordida	6_3	0,77
A0A819Y5T6	890	73,03	PF08487;PF13768;	Rotaria sp. Silwood2	6_3	0,77
A0A848KF89	1029	70,9	PF08487;PF13768;	Antrihabitans stalactiti	6_3	0,77
A0A2E7GIV6	777	70,66	PF08487;PF13768;	Alteromonadaceae bacterium	6_3	0,77
A0A2D0HEA6	657	85,28	PF08487;PF13768;	Nostoc sp. 'Peltigera malacea cyanobiont' DB3992	6_3	0,76
A0A847UYY8	718	85,23	PF08487;PF13768;	Desulfovibrionales bacterium	6_3	0,76
A0A523IF13	792	84,23	PF08487;PF13768;	Deltaproteobacteria bacterium	6_3	0,76
A0A523IF13	792	84,23	PF08487;PF13768;	Deltaproteobacteria bacterium	6_3	0,76
A0A670JN45	795	83,83	PF08487;PF13768;	Podarcis muralis (Wall lizard) (Lacerta muralis)	6_3	0,76
A0A672HXL1	765	83,74	PF08487;PF13768;	Salarias fasciatus (Jewelled blenny) (Blennius fasciatus)	6_3	0,76
A0A653ECE7	744	83,44	PF08487;PF13768;	Mycobacterium riyadhense	6_3	0,76
A0A6P7PA22	657	83,4	PF08487;PF13768;	Betta splendens (Siamese fighting fish)	6_3	0,76
A0A848Z3K6	657	83,26	PF08487;PF13768;	Inquilinus sp	6_3	0,76
A0A803JHN2	820	83,09	PF08487;PF13768;	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	6_3	0,76
A0A1A8G431	797	82,74	PF08487;PF13768;	Nothobranchius korthausae	6_3	0,76
A0A523U2N5	831	82,69	PF08487;PF13768;	Planctomycetes bacterium	6_3	0,76
A0A1X1Y279	745	82,59	PF08487;PF13768;	Mycobacterium kubicae	6_3	0,76
A0A7V3WF34	787	82,58	PF08487;PF13768;	Armatimonadetes bacterium	6_3	0,76
A0A6P6PE01	787	82,4	PF08487;PF13768;	Carassius auratus (Goldfish)	6_3	0,76
A0A3P8UU28	790	82,36	PF08487;PF13768;	Cynoglossus semilaevis (Tongue sole)	6_3	0,76
Q0AV90	776	82,17	PF08487;PF13768;	Syntrophomonas wolfei subsp. wolfei (strain DSM 2245B / Goettingen)	6_3	0,76
A0A6P7PAL4	782	81,96	PF08487;PF13768;	Betta splendens (Siamese fighting fish)	6_3	0,76
A0A672LY89	772	81,68	PF08487;PF13768;	Sinocyclocheilus grahami (Dianchi golden-line fish) (Barbus grahami)	6_3	0,76
D6Y9B6	796	81,56	PF08487;PF13768;	Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / KCTC 9307 / NBRC 14880 / R51)	6_3	0,76
A0A7Y5SJE2	810	81,43	PF08487;PF13768;	Pirellulales bacterium	6_3	0,76
A0A4W6CS31	769	81,33	PF08487;PF13768;	Lates calcarifer (Barramundi) (Holocentrus calcarifer)	6_3	0,76
Q8YNZ7	820	81,23	PF08487;PF13768;	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	6_3	0,76
A0A4P5ZHP1	717	81,21	PF08487;PF13768;	Planktothrix agardhii CCAP 1459/11A	6_3	0,76
A0A2I8A2Z2	818	81,15	PF08487;PF13768;	Nostoc sp. CENA543	6_3	0,76
A0A2L0EPB9	881	81,12	PF08487;PF13768;	Sorangium cellulosum (Polyangium cellulosum)	6_3	0,76
A0A3S7UWD3	868	81,09	PF08487;PF13768;	Sorangium cellulosum (Polyangium cellulosum)	6_3	0,76
A0A668U5F2	805	80,92	PF08487;PF13768;	Oreochromis aureus (Israeli tilapia) (Chromis aureus)	6_3	0,76
A0A1T4ZMR5	835	80,9	PF08487;PF13768;	Planktothrix sp. PCC 11201	6_3	0,76
A0A7W8AAG2	783	80,86	PF08487;PF13768;	Nonomuraea endophytica	6_3	0,76
A0A846G4X5	807	80,78	PF08487;PF13768;	Okeania sp. SIO2B3	6_3	0,76
A0A1C0V744	823	80,52	PF08487;PF13768;	Limnothrix sp. P13C2	6_3	0,76
A0A6P5K6G6	685	80,43	PF08487;PF13768;	Phascolarctos cinereus (Koala)	6_3	0,76
A0A6P6ME60	808	80,3	PF08487;PF13768;	Carassius auratus (Goldfish)	6_3	0,76
G3IMX9	721	80,3	PF08487;PF13768;	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	6_3	0,76
G7PPE4	786	80,23	PF08487;PF13768;	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	6_3	0,76
A0A1H7FYG9	718	80,22	PF08487;PF13768;	Maribacter orientalis	6_3	0,76
A0A671EVW5	783	80,16	PF08487;PF13768;	Rhinolophus ferrumequinum (Greater horseshoe bat)	6_3	0,76
A0A2T0SJ73	773	79,96	PF08487;PF13768;	Pseudosporangium ferrugineum	6_3	0,76
A0A437CR77	668	79,92	PF08487;PF13768;	Oryzias javanicus (Javanese ricefish) (Aplocheilus javanicus)	6_3	0,76
A0A239MX14	838	79,9	PF08487;PF13768;	Actinomadura meyerae	6_3	0,76
A0A3Q0CQR5	715	79,84	PF08487;PF13768;	Mesocricetus auratus (Golden hamster)	6_3	0,76
A0A315EHW3	809	79,79	PF08487;PF13768;	Limnohabitans sp. Bal53	6_3	0,76
A0A315EHW3	809	79,79	PF08487;PF13768;	Limnohabitans sp. Bal53	6_3	0,76
A0A3B3I0N2	726	79,4	PF08487;PF13768;	Oryzias latipes (Japanese rice fish) (Japanese killifish)	6_3	0,76
A0A0F9W7D9	662	79,35	PF08487;PF13768;	marine sediment metagenome	6_3	0,76
A0A2V8PZI0	846	79,32	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,76
M2A5S7	752	79,04	PF08487;PF13768;	Rhodopirellula europaea 6C	6_3	0,76
A0A1Q3HSB5	871	79,02	PF08487;PF13768;	Archangium sp. Cb G35	6_3	0,76
A0A4W5LMV8	727	78,98	PF08487;PF13768;	Hucho hucho (huchen)	6_3	0,76
A0A7Y5V047	792	78,87	PF08487;PF13768;	Anaerolineae bacterium	6_3	0,76
A0A2G1WC14	764	78,82	PF08487;PF13768;	Rhodopirellula bahusiensis	6_3	0,76
A0A5B9MG68	775	78,63	PF08487;PF13768;	Stieleria maiorica	6_3	0,76
A0A2M8BZH3	792	78,57	PF08487;PF13768;	Deltaproteobacteria bacterium CG_4_9_14_3_um_filter_63_12	6_3	0,76
A0A822A6Q1	696	78,47	PF08487;PF13768;	Rotaria sp. Silwood1	6_3	0,76
H1XQU0	822	78,42	PF08487;PF13768;	Caldithrix abyssi DSM 13497	6_3	0,76
R5ZZJ7	742	77,93	PF08487;PF13768;	Proteobacteria bacterium CAG:139	6_3	0,76
A0A2M7G9Y2	840	77,83	PF08487;PF13768;	bacterium (Candidatus Blackallbacteria) CG17_big_fil_post_rev_8_21_14_2_50_48_46	6_3	0,76
A0A7W7HP53	851	77,71	PF08487;PF13768;	Actinoplanes lobatus	6_3	0,76
A0A2M6VML3	809	77,57	PF08487;PF13768;	Limnohabitans sp. 15K	6_3	0,76
A0A6P9CGJ5	813	77,36	PF08487;PF13768;	Pantherophis guttatus (Corn snake) (Elaphe guttata)	6_3	0,76
A0A355CHE3	849	77,18	PF08487;PF13768;	Microcoleaceae bacterium UBA10368	6_3	0,76
A0A2S6IB09	1054	77,07	PF08487;PF13768;	Lewinella xylanilytica	6_3	0,76
A0A7W0WTK0	723	77,04	PF08487;PF13768;	Deltaproteobacteria bacterium	6_3	0,76
A0A3F3G980	832	76,73	PF08487;PF13768;	Thauera sp. 28	6_3	0,76
A0A2H3L9N2	820	76,69	PF08487;PF13768;	Candidatus Chloroploca asiatica	6_3	0,76
A0A819JMW6	797	76,37	PF08487;PF13768;	Adineta steineri	6_3	0,76
A0A1G0XNZ8	740	75,94	PF08487;PF13768;	Lentisphaerae bacterium GWF2_45_14	6_3	0,76
A0A0K1EIP5	930	75,49	PF08487;PF13768;	Chondromyces crocatus	6_3	0,76
A0A7W0QCN5	764	75,45	PF08487;PF13768;	Deltaproteobacteria bacterium	6_3	0,76
A0A287B470	821	74,99	PF08487;PF13768;	Sus scrofa (Pig)	6_3	0,76
A0A814GJJ3	834	74,88	PF08487;PF13768;	Rotaria sordida	6_3	0,76
A0A426TVK4	845	74,53	PF08487;PF13768;	Candidatus Viridilinea halotolerans	6_3	0,76
A0A1G3CRN5	772	74,04	PF08487;PF13768;	Polynucleobacter sp. GWA2_45_21	6_3	0,76
A0A816L1U7	852	73,98	PF08487;PF13768;	Rotaria magnacalcarata	6_3	0,76
A0A820W017	898	73,92	PF08487;PF13768;	Rotaria socialis	6_3	0,76
A0A814LTS1	828	73,46	PF08487;PF13768;	Rotaria sordida	6_3	0,76
A0A1G1XTB7	931	73,34	PF08487;PF13768;	Candidatus Buchananbacteria bacterium RBG_13_39_9	6_3	0,76
A0A814N5X1	895	73,18	PF08487;PF13768;	Didymodactylos carnosus	6_3	0,76
A0A818MCP3	766	73,03	PF08487;PF13768;	Rotaria socialis	6_3	0,76
