A0A0H2UQ73,Niacin transporter NiaX,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),Brak InterPro kodów dla tego białka.,imex:IM-18537|psi-mi:"MI:0946"|pubmed:23267104
P52272,Heterogeneous nuclear ribonucleoprotein M,Homo sapiens,IPR024666|IPR034990|IPR012677|IPR035979|IPR000504|IPR050374,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
P52739,Zinc finger protein 131,Homo sapiens,IPR000210|IPR011333|IPR036236|IPR013087,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P52739-2,Isoform 2 of Zinc finger protein 131,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P52798,Ephrin-A4,Homo sapiens,IPR008972|IPR031328|IPR034252|IPR019765|IPR001799,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P52815,Large ribosomal subunit protein bL12m,Homo sapiens,IPR000206|IPR013823|IPR014719|IPR008932|IPR036235,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P52927,High mobility group protein HMGI-C,Mus musculus,IPR017956|IPR000116,imex:IM-23312|pubmed:26045162
P53217,Uncharacterized membrane protein YGR026W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR051645,pubmed:16429126
P53254,U3 small nucleolar RNA-associated protein 22,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR005554|IPR035082|IPR035367|IPR035368|IPR035369|IPR035370|IPR035371,pubmed:12150911|pubmed:16429126
P53622,Coatomer subunit alpha,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR006692|IPR047312|IPR016391|IPR010714|IPR050844|IPR011044|IPR056176|IPR015943|IPR020472|IPR019775|IPR036322|IPR001680,pubmed:16429126
P54224,Uroporphyrinogen decarboxylase,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR038071|IPR006361|IPR000257,pubmed:18000013
P59595,Nucleoprotein,Severe acute respiratory syndrome coronavirus,IPR044344|IPR044345|IPR043505|IPR001218|IPR037179|IPR037195,imex:IM-29365|pubmed:34232536
P60330,Separin,Mus musculus,IPR005314|IPR030397,imex:IM-24272|pubmed:26496610
P60422,Large ribosomal subunit protein uL2,Escherichia coli (strain K12),IPR012340|IPR014722|IPR002171|IPR005880|IPR022669|IPR022671|IPR014726|IPR022666|IPR008991,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043|pubmed:16606699
P60438,Large ribosomal subunit protein uL3,Escherichia coli (strain K12),IPR000597|IPR019927|IPR019926|IPR009000,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P61073,C-X-C chemokine receptor type 4,Homo sapiens,IPR050119|IPR022726|IPR000355|IPR001277|IPR000276|IPR017452,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P61175,Large ribosomal subunit protein uL22,Escherichia coli (strain K12),IPR001063|IPR005727|IPR047867|IPR018260|IPR036394,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P62508-3,Isoform 3 of Estrogen-related receptor gamma,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-25472|pubmed:32296183
P62750,Large ribosomal subunit protein uL23,Homo sapiens,IPR012677|IPR019985|IPR013025|IPR012678|IPR001014|IPR005633,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P63284,Chaperone protein ClpB,Escherichia coli (strain K12),IPR003593|IPR003959|IPR017730|IPR019489|IPR036628|IPR004176|IPR001270|IPR018368|IPR028299|IPR041546|IPR050130|IPR027417,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P67775,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,Homo sapiens,IPR004843|IPR029052|IPR047129|IPR006186,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P68431,Histone H3.1,Homo sapiens,IPR007125|IPR009072|IPR000164,imex:IM-26301|pubmed:29568061
P68679,Small ribosomal subunit protein bS21,Escherichia coli (strain K12),IPR001911|IPR018278|IPR038380,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P72656,Ribonuclease E,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR012340|IPR019307|IPR004659|IPR003029,pubmed:18000013
P72858,Brak nazwy,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR012427,pubmed:18000013
P72957,Brak nazwy,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Brak InterPro kodów dla tego białka.,pubmed:18000013
P73033,Glycerol-3-phosphate dehydrogenase [NAD(P)+],Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR008927|IPR013328|IPR006168|IPR006109|IPR011128|IPR036291,pubmed:18000013
P73183,High light-inducible protein HliA,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Brak InterPro kodów dla tego białka.,pubmed:18000013
P73304,Small ribosomal subunit protein uS5,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR020568|IPR000851|IPR005712|IPR005324|IPR013810|IPR018192|IPR014721,pubmed:18000013
P73509,Brak nazwy,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR009056|IPR036909|IPR051811,pubmed:18000013
P73532,DNA replication and repair protein RecF,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR001238|IPR018078|IPR027417|IPR003395|IPR042174,pubmed:18000013
P73580,UvrABC system protein C,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR041663|IPR000305|IPR035901|IPR047296|IPR003583|IPR010994|IPR001943|IPR036876|IPR050066|IPR004791|IPR001162|IPR038476,pubmed:18000013
P73697,Brak nazwy,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR002636,pubmed:18000013
P73821,D-3-phosphoglycerate dehydrogenase,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR045865|IPR002912|IPR029009|IPR050857|IPR006139|IPR029753|IPR029752|IPR006140|IPR036291|IPR006236|IPR045626,pubmed:18000013
P73926,Circadian input-output histidine kinase CikA,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR011006|IPR036890|IPR003594|IPR005467|IPR003661|IPR036097|IPR036641|IPR005330|IPR001610|IPR000014|IPR000700|IPR035965|IPR004358|IPR008207|IPR001789,pubmed:18000013
P74054,Brak nazwy,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Brak InterPro kodów dla tego białka.,pubmed:18000013
P74396,Brak nazwy,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR018711,pubmed:18000013
P74587,Carbamoyl phosphate synthase small chain,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR050472|IPR006274|IPR002474|IPR036480|IPR029062|IPR035686|IPR017926,pubmed:18000013
P74688,Brak nazwy,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR000305|IPR035901,pubmed:18000013
P75438,ATP-dependent DNA helicase PcrA-short,Mycoplasmoides pneumoniae (strain ATCC 29342 / M129 / Subtype 1),IPR013986|IPR014017|IPR000212|IPR027417|IPR014016,imex:IM-11644|pubmed:19965468
P75749,Uncharacterized fimbrial chaperone YbgP,Escherichia coli (strain K12),IPR013783|IPR008962|IPR050643|IPR036316|IPR001829|IPR016148|IPR018046|IPR016147,pubmed:16606699
P75792,Sugar phosphatase YbiV,Escherichia coli (strain K12),IPR000150|IPR036412|IPR006379|IPR023214,pubmed:16606699
P75864,Ribosomal RNA large subunit methyltransferase K/L,Escherichia coli (strain K12),IPR017244|IPR002052|IPR000241|IPR053943|IPR054170|IPR019614|IPR029063|IPR004114,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P75882,Uncharacterized lipoprotein GfcD,Escherichia coli (strain K12),IPR010344,pubmed:16606699
P75914,Probable phosphatase YcdX,Escherichia coli (strain K12),IPR023710|IPR004013|IPR050243|IPR003141|IPR016195,pubmed:16606699
P75989,HTH-type transcriptional repressor BluR,Escherichia coli (strain K12),IPR009061|IPR000551|IPR047057|IPR053987|IPR053988,pubmed:16606699
P75992,Probable two-component-system connector protein YmgA,Escherichia coli (strain K12),Brak InterPro kodów dla tego białka.,pubmed:16606699
P76513,Uncharacterized protein YfdQ,Escherichia coli (strain K12),IPR019276,imex:IM-22059|pubmed:24561554
P76555,Acetate kinase EutQ,Escherichia coli (strain K12),IPR010424|IPR014710|IPR011051,pubmed:16606699
P76578,Alpha-2-macroglobulin,Escherichia coli (strain K12),IPR049120|IPR011625|IPR049122|IPR040639|IPR026284|IPR047565|IPR011626|IPR021868|IPR041203|IPR041462|IPR041246|IPR001599|IPR002890|IPR008930|IPR051802,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P77301,Uncharacterized protein YbaP,Escherichia coli (strain K12),IPR002816|IPR047111,pubmed:16606699
P77499,Probable ATP-dependent transporter SufC,Escherichia coli (strain K12),IPR003593|IPR003439|IPR017871|IPR010230|IPR027417,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P77624,Carbamate kinase-like protein YahI,Escherichia coli (strain K12),IPR036393|IPR001048|IPR003964,pubmed:16606699
P77627,Uncharacterized protein YbeR,Escherichia coli (strain K12),IPR009677,pubmed:16606699
P77779,Putative uncharacterized protein YbfO,Escherichia coli (strain K12),IPR001826|IPR022385|IPR050708,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P77791,Maltose O-acetyltransferase,Escherichia coli (strain K12),IPR001451|IPR018357|IPR051159|IPR024688|IPR011004,pubmed:16606699
P78549,Endonuclease III-like protein 1,Homo sapiens,IPR011257|IPR004036|IPR003651|IPR003265|IPR023170|IPR000445|IPR030841,pubmed:17353931
P84103,Serine/arginine-rich splicing factor 3,Homo sapiens,IPR012677|IPR035979|IPR000504|IPR050907,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P97363,Serine palmitoyltransferase 2,Mus musculus,IPR001917|IPR004839|IPR050087|IPR015424|IPR015421|IPR015422,imex:IM-24272|pubmed:26496610
Q00955,Acetyl-CoA carboxylase,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR049076|IPR049074|IPR034733|IPR013537|IPR011761|IPR013815|IPR005481|IPR001882|IPR011764|IPR005482|IPR000089|IPR029045|IPR011763|IPR011762|IPR005479|IPR016185|IPR011054|IPR011053,pubmed:16429126
Q02159,Ubiquitin-conjugating enzyme E2 7,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR050113|IPR000608|IPR023313|IPR016135,pubmed:14690591
Q02223,Tumor necrosis factor receptor superfamily member 17,Homo sapiens,IPR015337|IPR043521|IPR022320,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q02354,U3 small nucleolar RNA-associated protein 6,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR003107|IPR011990|IPR013949|IPR055347,pubmed:12150911|pubmed:16429126
Q02539,Histone H1.1,Homo sapiens,IPR005819|IPR005818|IPR036388|IPR036390,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q02796,Transcriptional regulatory protein LGE1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR021581,imex:IM-14085|pubmed:21179020
Q05329,Glutamate decarboxylase 2,Homo sapiens,IPR002129|IPR015424|IPR015421|IPR021115,imex:IM-25472|pubmed:32296183
Q05672,RNA-binding suppressor of PAS kinase protein 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR001374|IPR036867|IPR051937,pubmed:18719252
Q06205,FK506-binding protein 4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR041232|IPR046357|IPR001179|IPR023566,imex:IM-14085|pubmed:21179020
Q06218,ATP-dependent RNA helicase DBP9,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR011545|IPR050079|IPR014001|IPR001650|IPR027417|IPR014014,pubmed:16429126
Q06323,Proteasome activator complex subunit 1,Homo sapiens,IPR003186|IPR036997|IPR036996|IPR009077|IPR003185|IPR036252,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q06512,Nucleolar complex protein 4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR005612|IPR027193,pubmed:12150911|pubmed:16429126
Q06616,CDC5 pindle pole body anchor protein 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR013743,pubmed:16429126
Q06625,Glycogen debranching enzyme,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR008928|IPR012341|IPR010401|IPR032788|IPR029436|IPR032792|IPR032790|IPR017853|IPR006421,pubmed:16429126
Q06631,Protein BFR2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR025160|IPR039223|IPR012617,pubmed:16429126
Q07021,Complement component 1 Q subcomponent-binding protein, mitochondrial,Homo sapiens,IPR003428|IPR036561,imex:IM-27620|pubmed:28565870
Q07666,KH domain-containing, RNA-binding, signal transduction-associated protein 1,Homo sapiens,IPR045071|IPR055256|IPR004087|IPR036612|IPR032571|IPR032335,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q07892,Eclosion hormone,Drosophila melanogaster,IPR006825,imex:IM-28761|pubmed:37061542
Q07973,1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial,Homo sapiens,IPR050479|IPR001128|IPR017972|IPR002401|IPR036396,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q08162,Exosome complex exonuclease DIS3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR041505|IPR012340|IPR029060|IPR002716|IPR001900|IPR022966|IPR050180|IPR033771|IPR033770|IPR003029,imex:IM-29638|pubmed:37070168
Q08285,Exosome complex component RRP40,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR026699|IPR004088|IPR036612|IPR012340|IPR049469|IPR041054|IPR037319,imex:IM-29638|pubmed:37070168
Q08965,Ribosome biogenesis protein BMS1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR012948|IPR003959|IPR039761|IPR037875|IPR007034|IPR030387|IPR027417,pubmed:16429126
Q0P7V5,1,4-dihydroxy-6-naphtoate synthase,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR003773|IPR030869,pubmed:17615063
Q0P7W3,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR007332,pubmed:17615063
Q0P7X5,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR052062|IPR000064|IPR038765,pubmed:17615063
Q0P7X8,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR032411|IPR038315,pubmed:17615063
Q0P8A8,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR017896|IPR017900|IPR050954,pubmed:17615063
Q0P8E6,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR003593|IPR027417|IPR001482,pubmed:17615063
Q0P8F5,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),Brak InterPro kodów dla tego białka.,pubmed:17615063
Q0P8M9,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR051470|IPR012336|IPR036249,pubmed:17615063
Q0P8R0,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR008532|IPR051608,pubmed:17615063
Q0P8S6,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR036291|IPR002347,pubmed:17615063
Q0P8X3,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR036291|IPR006037|IPR003148|IPR050721,pubmed:17615063
Q0P9C2,Predicted 3'-5' exonuclease PolB-like domain-containing protein,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR019288|IPR012337|IPR036397,pubmed:17615063
Q0P9E6,Chaperone protein ClpB,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR003593|IPR003959|IPR019489|IPR036628|IPR004176|IPR001270|IPR028299|IPR041546|IPR050130|IPR027417,pubmed:17615063
Q0P9N3,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR051010|IPR028081|IPR028082,pubmed:17615063
Q0P9N8,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR003593|IPR003439|IPR017871|IPR052156|IPR027417,pubmed:17615063
Q0P9P8,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR021533,pubmed:17615063
Q0P9X9,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR010065|IPR043429|IPR000515|IPR035906,pubmed:17615063
Q0P9Z0,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR007410|IPR058248|IPR036182,pubmed:17615063
Q0PAF4,Molybdopterin adenylyltransferase,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR036425|IPR001453|IPR051920,pubmed:17615063
Q0PAH6,DUF3972 domain-containing protein,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR025002,pubmed:17615063
Q0PAM1,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR050793|IPR036412|IPR006549|IPR023214|IPR010023,pubmed:17615063
Q0PAS1,Putative peptidyl-prolyl cis-trans isomerase Cbf2,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR046357|IPR000297|IPR023058|IPR050245,pubmed:17615063
Q0PAT3,DNA polymerase III subunit delta,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR027417,pubmed:17615063
Q0PAU2,Acetolactate synthase small subunit,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR004789|IPR027271|IPR019455|IPR045865|IPR002912|IPR039557|IPR054480,pubmed:17615063
Q0PB14,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR052908|IPR039383|IPR011146|IPR036265,pubmed:17615063
Q0PB75,3-oxoacyl-[acyl-carrier-protein] reductase,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR011284|IPR057326|IPR036291|IPR020904|IPR050259|IPR002347,pubmed:17615063
Q0PBB8,Pyruvate kinase,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR001697|IPR015813|IPR040442|IPR011037|IPR015793|IPR015795|IPR036918|IPR015806,pubmed:17615063
Q0PBD8,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR005494|IPR016185,pubmed:17615063
Q0PBX4,Brak nazwy,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),Brak InterPro kodów dla tego białka.,pubmed:17615063
Q0PC10,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR034733|IPR000438|IPR029045|IPR011762|IPR041010,pubmed:17615063
Q0PC22,Peptidyl-prolyl cis-trans isomerase,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR046357|IPR001179|IPR048261,pubmed:17615063
Q0VD86,Protein INCA1,Homo sapiens,IPR026238,imex:IM-26469|pubmed:21750715
Q0ZME3,Nucleoprotein,Human coronavirus HKU1 (isolate N5),IPR044344|IPR044345|IPR043505|IPR001218|IPR037179|IPR037195,imex:IM-29365|pubmed:34232536
Q10471,Polypeptide N-acetylgalactosaminyltransferase 2,Homo sapiens,IPR045885|IPR001173|IPR029044|IPR035992|IPR000772,imex:IM-25472|pubmed:32296183
Q10713,Mitochondrial-processing peptidase subunit alpha,Homo sapiens,IPR011249|IPR050361|IPR011765|IPR001431|IPR007863,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q12495,Chromatin assembly factor 1 subunit A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR048800|IPR021644|IPR022043,imex:IM-14085|pubmed:21179020
Q12499,Nucleolar protein 58,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR045056|IPR012974|IPR042239|IPR002687|IPR036070|IPR012976,pubmed:12150911|pubmed:16429126
Q13084,Large ribosomal subunit protein bL28m,Homo sapiens,IPR026569|IPR034704|IPR037147,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q13296-2,Isoform 2 of Mammaglobin-A,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q13304,Uracil nucleotide/cysteinyl leukotriene receptor,Homo sapiens,IPR000276|IPR017452,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q13415,Origin recognition complex subunit 1,Homo sapiens,IPR003593|IPR041083|IPR003959|IPR001025|IPR043151|IPR015163|IPR050311|IPR027417,imex:IM-24272|pubmed:26496610
Q13616,Cullin-1,Homo sapiens,IPR045093|IPR059120|IPR016157|IPR016158|IPR036317|IPR001373|IPR019559|IPR016159|IPR036388|IPR036390,doi:10.1016/j.cell.2010.11.017|imex:IM-18651|pubmed:21145461
Q13617,Cullin-2,Homo sapiens,IPR045093|IPR059120|IPR016157|IPR016158|IPR036317|IPR001373|IPR019559|IPR016159|IPR036388|IPR036390,doi:10.1038/nature22366|imex:IM-25778|pubmed:17353931|pubmed:28514442
Q13643,Four and a half LIM domains protein 3,Homo sapiens,IPR056807|IPR001781,imex:IM-23318|imex:IM-25472|pubmed:25416956|pubmed:32296183
Q14103,Heterogeneous nuclear ribonucleoprotein D0,Homo sapiens,IPR012956|IPR012677|IPR035979|IPR000504,imex:IM-24272|pubmed:26496610
Q14162,Scavenger receptor class F member 1,Homo sapiens,IPR000742|IPR057138|IPR009030|IPR002049|IPR042635,imex:IM-25472|pubmed:32296183
Q14696,LRP chaperone MESD,Homo sapiens,IPR019330,imex:IM-25472|pubmed:32296183
Q14978,Nucleolar and coiled-body phosphoprotein 1,Homo sapiens,IPR006594|IPR039191|IPR007718,imex:IM-30059|pubmed:39251607
Q15006,ER membrane protein complex subunit 2,Homo sapiens,IPR039856|IPR011990|IPR055217|IPR019734,imex:IM-24272|pubmed:26496610
Q15031,Leucine--tRNA ligase, mitochondrial,Homo sapiens,IPR001412|IPR002300|IPR002302|IPR025709|IPR013155|IPR014729|IPR009080|IPR009008,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q15118,[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial,Homo sapiens,IPR036784|IPR018955|IPR039028|IPR036890|IPR003594|IPR005467,imex:IM-26301|pubmed:29568061
Q15654,Thyroid receptor-interacting protein 6,Homo sapiens,IPR001781,pubmed:17353931
Q15848,Adiponectin,Homo sapiens,IPR001073|IPR008160|IPR050392|IPR008983,imex:IM-25472|pubmed:32296183
Q16666-2,Isoform 2 of Gamma-interferon-inducible protein 16,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-23523|pubmed:25665578
Q16799,Reticulon-1,Homo sapiens,IPR003388|IPR046964,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q24114,Division abnormally delayed protein,Drosophila melanogaster,IPR001863,imex:IM-16527|pubmed:25294943
Q24568,Netrin-B,Drosophila melanogaster,IPR050440|IPR008211|IPR002049|IPR056863|IPR001134|IPR018933|IPR008993,imex:IM-16527|pubmed:25294943
Q3V3W4,Brak nazwy,Mus musculus,IPR000210|IPR011333|IPR036236|IPR013087,imex:IM-24272|pubmed:26496610
Q42453,Zinc finger protein ZAT7,Arabidopsis thaliana,IPR036236|IPR013087,pubmed:17259181
Q4G0F5,Vacuolar protein sorting-associated protein 26B,Homo sapiens,IPR014752|IPR028934,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q4G0J3,La-related protein 7,Homo sapiens,IPR045180|IPR006630|IPR014886|IPR034946|IPR034887|IPR034910|IPR002344|IPR012677|IPR035979|IPR000504|IPR036388|IPR036390,imex:IM-30059|pubmed:39251607
Q4J6C6,Prolyl endopeptidase-like,Homo sapiens,IPR029058|IPR023302|IPR001375|IPR004106|IPR002470|IPR051543,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q53EZ4,Centrosomal protein of 55 kDa,Homo sapiens,IPR038926|IPR022008,doi:10.1038/s41467-019-11959-3|imex:IM-27438|pubmed:31515488
Q53GS9,Ubiquitin carboxyl-terminal hydrolase 39,Homo sapiens,IPR038765|IPR001394|IPR050185|IPR028889|IPR033809|IPR013083|IPR001607,imex:IM-12079|pubmed:19615732
Q55553,Brak nazwy,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR038109|IPR011109|IPR006119|IPR036162|IPR050639,pubmed:18000013
Q55580,Brak nazwy,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR022244|IPR050218,pubmed:18000013
Q55633,Brak nazwy,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),IPR051455|IPR001638,pubmed:18000013
Q55762,Brak nazwy,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Brak InterPro kodów dla tego białka.,pubmed:18000013
Q58FF6,Putative heat shock protein HSP 90-beta 4,Homo sapiens,IPR036890|IPR003594|IPR037196|IPR001404|IPR020575|IPR020568,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q5BJF2,Sigma intracellular receptor 2,Homo sapiens,IPR033118|IPR051987|IPR016964,imex:IM-25472|pubmed:32296183
Q5GAN6,Inactive ribonuclease-like protein 10,Homo sapiens,IPR001427|IPR036816|IPR023412,imex:IM-25472|pubmed:32296183
Q5T447,E3 ubiquitin-protein ligase HECTD3,Homo sapiens,IPR004939|IPR008979|IPR000569|IPR035983|IPR042469,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q5T653,Large ribosomal subunit protein uL2m,Homo sapiens,IPR012340|IPR014722|IPR002171|IPR022669|IPR022666|IPR008991,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q659A1,Little elongation complex subunit 2,Homo sapiens,IPR019535,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
